ID,Name,Environmental data? Y/N/Part,"Priority (1,2,3)"
org-dga-023de304-32e8-40bd-a024-c2ee27e33ed0,Department of Planning and Community Development (Vic),Part,
org-dga-033c1697-92ae-4ad3-812c-5a220377e8fc,"School of Animal Biology (SAB), The University of Western Australia (UWA)",Part,
org-dga-039999ca-2e6a-4505-876c-a2a385f6edfe,Cairns Regional Council,Part,
org-dga-0483eac0-22f2-40fd-852f-0b395167f2fe,Department of Justice (Tasmania),,
org-dga-04e0bede-450c-49c8-944f-da7f8bee9677,IP Australia,Related Patents,
org-dga-05331fe7-d3e3-4e05-b92b-ceaad7895665,RAN Hydrography and METOC Branch,Y,
org-dga-0535d9af-7742-4476-ba40-dccfa0160c51,Mitchell Shire Council,Part,
org-dga-05926e8c-aaa1-4331-9931-d95b74ad9d13,"Water Studies Centre (WSC), Monash University",Y,
org-dga-05969ec6-aad8-4fca-97a1-8e3db4a918e6,"School of Humanities and Social Sciences (SHSS), Deakin University",,
org-dga-05c4af1d-6686-42d7-ba85-bbd16c17e22c,Australian Institute of Aboriginal and Torres Strait Islander Studies (AIATSIS),Part,
org-dga-07c68246-3f02-448a-a46c-9e7afaa0527e,"Romberg Tiburon Center for Environmental Studies (RTC), San Francisco State University (SFSU)",Y,
org-dga-0804dcf8-8391-4b7d-a8b4-6e26ec0f3f9f,"School of Biological Sciences (SBS), The University of Queensland (UQ)",Y,
org-dga-0857c2ec-a204-44a5-a63a-4ee0e7767851,Emergency Services Telecommunications Authority (Victoria),Part,
org-dga-088180b8-dd66-47df-8d47-e89f15841a49,Queensland Government,Part,
org-dga-08d48eba-910a-4c49-b364-5cebe588e711,Yarra Ranges Council,Part,
org-dga-0901d410-334c-4b23-8f94-4df603eb1771,"Department of Pharmacology and Therapeutics, The University of Melbourne",,
org-dga-091054cd-c0c3-4500-94ff-db7a7ac2ee2b,"Department of Environment, Land, Water and Planning (DELWP), Victorian Government",Y,
org-dga-0aace6fb-2b97-466c-bc6e-2dc4aa596c62,"School of Life and Environmental Sciences (LES), Deakin University",Y,
org-dga-0ac05552-f29c-4aef-b752-e017374ea50f,"Cooperative Institute for Marine and Atmospheric Studies (CIMAS), University of Miami",Y,
org-dga-0d7dbea2-6de1-44ba-b97d-652ac705e4db,Environment Protection Authority (EPA) Victoria,Y,
org-dga-0d872d59-347b-40ce-914d-d9718e894a05,Moreton Bay Regional Council,Y,
org-dga-0db4fbf7-ff98-4d69-8ea4-59fd7e23b2f3,NSW Health,Part,
org-dga-0dc58ae1-167e-4c6e-9de0-75ae125cf3ba,"Crawford School of Public Policy (CSPP), The Australian National University (ANU)","Environmental
Policies",
org-dga-0e28cfeb-c4e3-45e5-b58e-3770c7cf879f,Cardinia Shire Council,Part,
org-dga-0e6a27e3-f4ef-4d13-9ad7-eb67f26ba592,Australian Customs and Border Protection Service,Part,
org-dga-0e931796-82d2-4bb9-aea2-e28ff45f0876,"School of Business, James Cook University and The Cairns Institute",,
org-dga-0ede59cd-6e31-49c7-9925-99f7fed9622f,"Global Change Institute, University of Queensland (UQ)",Part,
org-dga-0ef29e6e-1516-4152-b90c-612db77a2547,Yarra Valley Water,Y,
org-dga-0f755080-4407-4abb-8b8b-39a5534d09c2,Logan City Council,Part,
org-dga-0fa8ec2b-a64f-4959-a0a6-21c0dc19d6cd,"Cooperative Institute for Meteorological Satellite Studies (CIMSS), University of Wisconsin-Madison",Y,
org-dga-0fb2742f-043d-448d-8a81-2310099ee6d9,New South Wales Datasets,Part,
org-dga-0ff548c4-6884-4acd-99d5-2582f6cad1b4,Space Weather Services - Australian Bureau of Meteorology,Y,
org-dga-105d2180-df6a-4c0c-860e-0dc2b126bffb,Department of Finance (Western Australia),,
org-dga-11f44bcb-488b-42f0-b0f4-6a897fc8a600,"School of Marine and Tropical Biology, James Cook University (JCU)",Y,
org-dga-124eafea-a6f5-45c5-aa48-775e81647ab7,"Integrated Catchment Assessment and Management Centre (iCAM), The Australian National University (ANU)",Y,
org-dga-12b76073-aa86-49ff-b4d1-50933bc4346d,CSIRO Oceans & Atmosphere - Hobart,Y,
org-dga-13bb05b6-8d48-4c8d-9c68-4ef6c46e17e4,CSIRO Oceans & Atmosphere,Y,
org-dga-143621fb-06a6-42a7-b9fb-72f2164afa29,University of Sydney,Part,
org-dga-168d6ba5-0534-48eb-94bd-ad248bf0f2a4,"Department of Spatial Sciences, Curtin University",Part,
org-dga-183919a3-3a85-4793-be7c-32acbc83306b,CSIRO Land & Water,Y,
